Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Дополнительная информация по товару";Возраст;Порода;Размер;Вкус;"Особые серии"
"новые товары";"42731 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, голубая 3м";40.95;42731-povodok-ruletka-flexi-new-comfort-xs-tros-golubaya-3m;0;;;;;4000498042731;0;"42731 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, голубая 3м";"42731 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, голубая 3м";;;;;;;;;;
"новые товары";"42728 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, черная 3м";40.95;42728-povodok-ruletka-flexi-new-comfort-xs-tros-chernaya-3m;0;;;;;4000498042748;0;"42728 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, черная 3м";"42728 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, черная 3м";;;;;;;;;;
"новые товары";"42724 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, красная 3м";40.95;42724-povodok-ruletka-flexi-new-comfort-xs-tros-krasnaya-3m;0;;;;;4000498042724;0;"42724 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, красная 3м";"42724 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, красная 3м";;;;;;;;;;
"новые товары";"42717 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, светло-голубая 3м";40.95;42717-povodok-ruletka-flexi-new-comfort-xs-tros-svetlo-golubaya-3m;0;;;;;4000498042717;0;"42717 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, светло-голубая 3м";"42717 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, светло-голубая 3м";;;;;;;;;;
"новые товары";"42700 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, розовая 3м";40.95;42700-povodok-ruletka-flexi-new-comfort-xs-tros-rozovaya-3m;0;;;;;4000498042700;0;"42700 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, розовая 3м";"42700 Поводок-рулетка  ""Flexi"", ""New Comfort"" (XS), трос, розовая 3м";;;;;;;;;;
"новые товары";"303 Inspector Quadro Капли для кошек 8-15 кг";23.95;303-inspector-quadro-kapli-dlya-koshek-8-15-kg;0;;;;;4607092077581;0;"303 Inspector Quadro Капли для кошек 8-15 кг";"303 Inspector Quadro Капли для кошек 8-15 кг";;;;;;;;;;
"новые товары";"22702 Поводок-рулетка  ""Flexi"", ""New CLASSIC""(S),трос,  красный,  8м";62.95;22702-povodok-ruletka-flexi-new-classicstros-krasnyj-8m;0;;;;;4000498022702;0;"22702 Поводок-рулетка  ""Flexi"", ""New CLASSIC""(S),трос,  красный,  8м";"22702 Поводок-рулетка  ""Flexi"", ""New CLASSIC""(S),трос,  красный,  8м";;;;;;;;;;
"новые товары";*Стурисома;31.95;sturisoma;0;;;;;2000900223071;0;*Стурисома;*Стурисома;;;;;;;;;;
"новые товары";"Изделие из глины № 96";8.95;izdelie-iz-gliny--96;0;;;;;2000900222937;0;"Изделие из глины № 96";"Изделие из глины № 96";;;;;;;;;;
"новые товары";"Изделие из глины № 91";8.95;izdelie-iz-gliny--91;0;;;;;2000900222920;0;"Изделие из глины № 91";"Изделие из глины № 91";;;;;;;;;;
"новые товары";"Изделие из глины № 90";8.95;izdelie-iz-gliny--90;0;;;;;2000900222913;0;"Изделие из глины № 90";"Изделие из глины № 90";;;;;;;;;;
"новые товары";"Изделие из глины № 8";11.95;izdelie-iz-gliny--8;0;;;;;2000900222562;0;"Изделие из глины № 8";"Изделие из глины № 8";;;;;;;;;;
"новые товары";"Изделие из глины № 75";14.95;izdelie-iz-gliny--75;0;;;;;2000900222906;0;"Изделие из глины № 75";"Изделие из глины № 75";;;;;;;;;;
"новые товары";"Изделие из глины № 74";14.95;izdelie-iz-gliny--74;0;;;;;2000900222890;0;"Изделие из глины № 74";"Изделие из глины № 74";;;;;;;;;;
"новые товары";"Изделие из глины № 72";14.95;izdelie-iz-gliny--72;0;;;;;2000900222883;0;"Изделие из глины № 72";"Изделие из глины № 72";;;;;;;;;;
"новые товары";"Изделие из глины № 71";8.95;izdelie-iz-gliny--71;0;;;;;2000900222876;0;"Изделие из глины № 71";"Изделие из глины № 71";;;;;;;;;;
"новые товары";"Изделие из глины № 70";7.95;izdelie-iz-gliny--70;0;;;;;2000900222869;0;"Изделие из глины № 70";"Изделие из глины № 70";;;;;;;;;;
"новые товары";"Изделие из глины № 68";8.95;izdelie-iz-gliny--68;0;;;;;2000900222852;0;"Изделие из глины № 68";"Изделие из глины № 68";;;;;;;;;;
"новые товары";"Изделие из глины № 64";10.95;izdelie-iz-gliny--64;0;;;;;2000900222845;0;"Изделие из глины № 64";"Изделие из глины № 64";;;;;;;;;;
"новые товары";"Изделие из глины № 63м";5.95;izdelie-iz-gliny--63m;0;;;;;2000900222838;0;"Изделие из глины № 63м";"Изделие из глины № 63м";;;;;;;;;;
"новые товары";"Изделие из глины № 60";8.95;izdelie-iz-gliny--60;0;;;;;2000900222821;0;"Изделие из глины № 60";"Изделие из глины № 60";;;;;;;;;;
"новые товары";"Изделие из глины № 52";15.95;izdelie-iz-gliny--52;0;;;;;2000900222814;0;"Изделие из глины № 52";"Изделие из глины № 52";;;;;;;;;;
"новые товары";"Изделие из глины № 51";8.95;izdelie-iz-gliny--51;0;;;;;2000900222807;0;"Изделие из глины № 51";"Изделие из глины № 51";;;;;;;;;;
"новые товары";"Изделие из глины № 5";23.95;izdelie-iz-gliny--5;0;;;;;2000900222555;0;"Изделие из глины № 5";"Изделие из глины № 5";;;;;;;;;;
"новые товары";"Изделие из глины № 46";7.95;izdelie-iz-gliny--46;0;;;;;2000900222791;0;"Изделие из глины № 46";"Изделие из глины № 46";;;;;;;;;;
"новые товары";"Изделие из глины № 45";14.95;izdelie-iz-gliny--45;0;;;;;2000900222784;0;"Изделие из глины № 45";"Изделие из глины № 45";;;;;;;;;;
"новые товары";"Изделие из глины № 44";14.95;izdelie-iz-gliny--44;0;;;;;2000900222777;0;"Изделие из глины № 44";"Изделие из глины № 44";;;;;;;;;;
"новые товары";"Изделие из глины № 43";17.95;izdelie-iz-gliny--43;0;;;;;2000900222760;0;"Изделие из глины № 43";"Изделие из глины № 43";;;;;;;;;;
"новые товары";"Изделие из глины № 42";17.95;izdelie-iz-gliny--42;0;;;;;2000900222753;0;"Изделие из глины № 42";"Изделие из глины № 42";;;;;;;;;;
"новые товары";"Изделие из глины № 40";27.95;izdelie-iz-gliny--40;0;;;;;2000900222746;0;"Изделие из глины № 40";"Изделие из глины № 40";;;;;;;;;;
"новые товары";"Изделие из глины № 4";27.95;izdelie-iz-gliny--4;0;;;;;2000900222548;0;"Изделие из глины № 4";"Изделие из глины № 4";;;;;;;;;;
"новые товары";"Изделие из глины № 39";11.95;izdelie-iz-gliny--39;0;;;;;2000900222739;0;"Изделие из глины № 39";"Изделие из глины № 39";;;;;;;;;;
"новые товары";"Изделие из глины № 37";23.95;izdelie-iz-gliny--37;0;;;;;2000900222722;0;"Изделие из глины № 37";"Изделие из глины № 37";;;;;;;;;;
"новые товары";"Изделие из глины № 36";23.95;izdelie-iz-gliny--36;0;;;;;2000900222715;0;"Изделие из глины № 36";"Изделие из глины № 36";;;;;;;;;;
"новые товары";"Изделие из глины № 33";7.95;izdelie-iz-gliny--33;0;;;;;2000900222708;0;"Изделие из глины № 33";"Изделие из глины № 33";;;;;;;;;;
"новые товары";"Изделие из глины № 32";7.95;izdelie-iz-gliny--32;0;;;;;2000900222692;0;"Изделие из глины № 32";"Изделие из глины № 32";;;;;;;;;;
"новые товары";"Изделие из глины № 31";7.95;izdelie-iz-gliny--31;0;;;;;2000900222685;0;"Изделие из глины № 31";"Изделие из глины № 31";;;;;;;;;;
"новые товары";"Изделие из глины № 3";27.95;izdelie-iz-gliny--3;0;;;;;2000900222531;0;"Изделие из глины № 3";"Изделие из глины № 3";;;;;;;;;;
"новые товары";"Изделие из глины № 28";7.95;izdelie-iz-gliny--28;0;;;;;2000900222678;0;"Изделие из глины № 28";"Изделие из глины № 28";;;;;;;;;;
"новые товары";"Изделие из глины № 27";7.95;izdelie-iz-gliny--27;0;;;;;2000900222661;0;"Изделие из глины № 27";"Изделие из глины № 27";;;;;;;;;;
"новые товары";"Изделие из глины № 26";7.95;izdelie-iz-gliny--26;0;;;;;2000900222654;0;"Изделие из глины № 26";"Изделие из глины № 26";;;;;;;;;;
"новые товары";"Изделие из глины № 24";11.95;izdelie-iz-gliny--24;0;;;;;2000900222647;0;"Изделие из глины № 24";"Изделие из глины № 24";;;;;;;;;;
"новые товары";"Изделие из глины № 23";8.95;izdelie-iz-gliny--23;0;;;;;2000900222630;0;"Изделие из глины № 23";"Изделие из глины № 23";;;;;;;;;;
"новые товары";"Изделие из глины № 21";11.95;izdelie-iz-gliny--21;0;;;;;2000900222623;0;"Изделие из глины № 21";"Изделие из глины № 21";;;;;;;;;;
"новые товары";"Изделие из глины № 17";4.69;izdelie-iz-gliny--17;0;;;;;2000900222616;0;"Изделие из глины № 17";"Изделие из глины № 17";;;;;;;;;;
"новые товары";"Изделие из глины № 16";8.95;izdelie-iz-gliny--16;0;;;;;2000900222609;0;"Изделие из глины № 16";"Изделие из глины № 16";;;;;;;;;;
"новые товары";"Изделие из глины № 14";11.95;izdelie-iz-gliny--14;0;;;;;2000900222593;0;"Изделие из глины № 14";"Изделие из глины № 14";;;;;;;;;;
"новые товары";"Изделие из глины № 131";70.95;izdelie-iz-gliny--131;0;;;;;2000900223057;0;"Изделие из глины № 131";"Изделие из глины № 131";;;;;;;;;;
"новые товары";"Изделие из глины № 13";20.95;izdelie-iz-gliny--13;0;;;;;2000900222586;0;"Изделие из глины № 13";"Изделие из глины № 13";;;;;;;;;;
"новые товары";"Изделие из глины № 129";35.95;izdelie-iz-gliny--129;0;;;;;2000900223040;0;"Изделие из глины № 129";"Изделие из глины № 129";;;;;;;;;;
"новые товары";"Изделие из глины № 128";14.95;izdelie-iz-gliny--128;0;;;;;2000900223033;0;"Изделие из глины № 128";"Изделие из глины № 128";;;;;;;;;;
"новые товары";"Изделие из глины № 115м";7.95;izdelie-iz-gliny--115m;0;;;;;2000900223019;0;"Изделие из глины № 115м";"Изделие из глины № 115м";;;;;;;;;;
"новые товары";"Изделие из глины № 115б";11.95;izdelie-iz-gliny--115b;0;;;;;2000900223026;0;"Изделие из глины № 115б";"Изделие из глины № 115б";;;;;;;;;;
"новые товары";"Изделие из глины № 113";17.95;izdelie-iz-gliny--113;0;;;;;2000900223002;0;"Изделие из глины № 113";"Изделие из глины № 113";;;;;;;;;;
"новые товары";"Изделие из глины № 112";17.95;izdelie-iz-gliny--112;0;;;;;2000900222999;0;"Изделие из глины № 112";"Изделие из глины № 112";;;;;;;;;;
"новые товары";"Изделие из глины № 11";14.95;izdelie-iz-gliny--11;0;;;;;2000900222579;0;"Изделие из глины № 11";"Изделие из глины № 11";;;;;;;;;;
"новые товары";"Изделие из глины № 108";11.95;izdelie-iz-gliny--108;0;;;;;2000900222982;0;"Изделие из глины № 108";"Изделие из глины № 108";;;;;;;;;;
"новые товары";"Изделие из глины № 107";11.95;izdelie-iz-gliny--107;0;;;;;2000900222975;0;"Изделие из глины № 107";"Изделие из глины № 107";;;;;;;;;;
"новые товары";"Изделие из глины № 105";11.95;izdelie-iz-gliny--105;0;;;;;2000900222968;0;"Изделие из глины № 105";"Изделие из глины № 105";;;;;;;;;;
"новые товары";"Изделие из глины № 103";7.95;izdelie-iz-gliny--103;0;;;;;2000900222951;0;"Изделие из глины № 103";"Изделие из глины № 103";;;;;;;;;;
"новые товары";"Изделие из глины № 101";8.95;izdelie-iz-gliny--101;0;;;;;2000900222944;0;"Изделие из глины № 101";"Изделие из глины № 101";;;;;;;;;;
"новые товары";"Изделие из глины № 1";42.95;izdelie-iz-gliny--1;0;;;;;2000900222524;0;"Изделие из глины № 1";"Изделие из глины № 1";;;;;;;;;;
"Собаки/Лакомства, Собаки/Лакомства/Натуральные сушеные, Собаки/Лакомства/Для зубов, Собаки/Лакомства/Лакомства для собак TiTBiT";"ТИТБИТ Ракушки говяжьи Высушенные хрящевые основания говяжьих  ушей";6.95;titbit-rakushki-govyazhi-vysushennye-hryaschevye-osnovaniya-govyazhih-ushej;1;;TiTBiT;;;4640000319915;0;"ТИТБИТ Ракушки говяжьи Высушенные хрящевые основания говяжьих  ушей";"319915 Ракушки говяжьи  - мягкая упаковка";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text""><p><span><b>Ракушки говяжьи ""TiTBiT""</b>&nbsp;- это высушенные хрящевые основания говяжьих ушей, которые заботятся о деснах, очищают зубы от налета и камня, а также укрепляют хрящевую ткань.</span><br /><span></span><br /><span>Рекомендовано с целью облегчения смены зубов у щенков, укрепления десен, очистки зубов от пищевого налета и зубного камня, дополнительного питания и укрепления хрящевой ткани собак среднего и старшего возраста. Высокое содержание коллагена и эластина способствует улучшению формирования ушного хряща для пород собак, стандартом которых предусмотрен вертикальный постав ушной раковины.</span><br /><span></span><br /><span><b>Состав</b>: высушенное ухо говяжье.</span><br /><span></span><br /><span><b>Пищевая ценность (на 100 г продукта):</b>&nbsp;белки - 25,2 г; жиры - 2,3 г.</span><br /><span></span><br /><span><b>Энергетическая ценность:&nbsp;</b>121,5 ккал.</span><br /><span></span><br /><span><b>Масса нетто:</b>&nbsp;62 г.</span><br /><span></span><br /><span>Хранить при температуре от +4 ?С до +25 ?С и относительной влажности не более 75%.</span></p></div>";fdfeee71b53fa4bc9b1bfed1c0a0592c.jpg;"Высушенные хрящевые основания говяжьих  ушей";;;;;
"новые товары";"*Скалярия Березка";6.95;skalyariya-berezka;0;;;;;2000900222517;0;"*Скалярия Березка";"*Скалярия Березка";;;;;;;;;;
Кошки/Лакомства;"Лакомство ""Sanal"" с лососем";12.99;lakomstvo-sanal-s-lososem;1;;Sanal;"100 г";;8711908158107;12;"Лакомство ""Sanal"" с лососем";"1581 Санал  д/к Мультивитамин Лосось 100гр";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text""><ul><li><span>С витамином комплекса B который&nbsp;отвечает за нервную систему и сопротивляемость организма</span></li><li><span>Для здоровой и блестящей шерсти</span></li><li><span>С кальцием для сильных костей и зубов</span></li><li><span>Без сахара и красителей</span></li></ul><span></span><p><b style=""font-size: 1.7rem;"">Состав</b><span style=""font-size: 1.7rem;"">:&nbsp;дрожжи, молоко и молочные продукты, рыба и рыбные субпродукты (4% лосося), стеарат кальция, масла и жиры; добавки на 1 кг: биотин 12100 мг, витамины А 14204 ME, D3 2000 ME, E 31 мг; натуральный состав содержит витамины B1, B2, B3, B5, B6, B11 и B12.</span></p><span></span><p><span><b>Содержание питательных веществ:</b>&nbsp;белки &mdash; 19.9%, жиры &mdash; 1.0%, зольные компоненты &mdash; 7.4%, клетчатка &mdash; 0.5%.</span></p><p><b style=""font-size: 1.7rem;"">Применение:&nbsp;</b><span style=""font-size: 1.7rem;"">к</span><span style=""font-size: 1.7rem;"">отятам по 2-3 табл. в день, взрослым котам до 5 табл. Всегда должна быть доступна свежая, чистая вода.</span></p><p><b style=""font-size: 1.7rem;"">Хранить в прохладном месте.</b></p><p><span>Упакован в удобную и повторно закрываемую банку, которая сохраняет продукт дольше.</span></p><span></span><p><span><b>Вес</b>: 100 г.</span></p></div>";screenshot_1_24.png;"Натуральное питательное лакомство для котов";;;;;
"новые товары";"Когтеточка ""Замбия-70""";67.95;kogtetochka-zambiya-70;0;;;;;4810002211832;0;"Когтеточка ""Замбия-70""";"Когтеточка ""Замбия-70""";;;;;;;;;;
"новые товары";"Когтеточка ""Замбия-50"" ";55.95;kogtetochka-zambiya-50-;0;;;;;4810002211825;0;"Когтеточка ""Замбия-50"" ";"Когтеточка ""Замбия-50"" ";;;;;;;;;;
"Кошки/Наполнители, Кошки/Наполнители/Комкующийся";"Наполнитель FOR CATS комкующийся 7л (2,7кг) Tofu Natural с ароматом лаванды";18.95;napolnitel-for-cats-komkuyuschijsya-7l-27kg-tofu-natural-s-aromatom-lavandy;1;;"For Cats";"7л (2,7кг)";;4815907006118;12;"Наполнитель FOR CATS комкующийся 7л (2,7кг) Tofu Natural с ароматом лаванды";"Наполнитель FOR CATS комкующийся 7л (2,7кг) Tofu Natural с ароматом лаванды";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text""><p></p><p><span><b>FOR CATS Tofu Natural</b>&nbsp;- наполнитель для кошачьих туалетов из спрессованных соевых волокон, с ароматом лаванды.</span><br /><span></span><br /><span>Наполнитель эффективно впитывает влагу, при попадании жидкости соевые гранулы образуют крепкий комок и надежно запирают запах внутри.</span><br /><span></span><br /><span><b>Преимущества:</b></span><br /><span></span></p><ul><li><span>Нетоксичен, не вызывает аллергии</span></li><li><span>Г</span><span>ранулы не пылят и не разлетаются при утилизации&nbsp;</span></li></ul><span></span><br /><span><b>Объем:&nbsp;</b>7 л.<br /></span><span><br />Произведено в Китае.</span></div>";screenshot_1_23.png;"Экологически чистый наполнитель из соевых волокон";;;;;
"Кошки/Наполнители, Кошки/Наполнители/Комкующийся";"FOR CATS Наполнитель Tofu Natural (зеленый чай)";18.95;for-cats-napolnitel-tofu-natural-zelenyj-chaj;1;;"For Cats";"7л (2,7кг)";;4815907002158;10;"FOR CATS Наполнитель Tofu Natural (зеленый чай)";"Наполнитель FOR CATS комкующийся 7л (2,7кг) Tofu Natural с ароматом зеленого чая";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text""><p></p><p><span><b>FOR CATS Tofu Natural</b>&nbsp;- наполнитель для кошачьих туалетов из спрессованных соевых волокон, с ароматом зеленого чая.</span><br /><span></span><br /><span>Наполнитель эффективно впитывает влагу, при попадании жидкости соевые гранулы образуют крепкий комок и надежно запирают запах внутри.</span><br /><span></span><br /><span><b>Преимущества:</b></span><br /><span></span></p><ul><li><span>Нетоксичен, не вызывает аллергии</span></li><li><span>Г</span><span>ранулы не пылят и не разлетаются при утилизации&nbsp;</span></li></ul><span></span><br /><span><b>Объем:&nbsp;</b>7 л.<br /></span><span><br />Произведено в Китае.</span></div>";screenshot_2_9.png;"Экологически чистый наполнитель из соевых волокон";;;;;
"Кошки/Наполнители, Кошки/Наполнители/Комкующийся";"FOR CATS Наполнитель Tofu Natural (без запаха)";18.95;for-cats-napolnitel-tofu-natural-bez-zapaha;1;;"For Cats";"7л (2,7кг)";;4815907002134;12;"FOR CATS Наполнитель Tofu Natural (без запаха)";"Наполнитель FOR CATS комкующийся 7л (2,7кг) Tofu Natural без запаха";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text""><p></p><p><span><b>FOR CATS Tofu Natural</b>&nbsp;- наполнитель для кошачьих туалетов из спрессованных соевых волокон, без аромата.</span><br /><span></span><br /><span>Наполнитель эффективно впитывает влагу, при попадании жидкости соевые гранулы образуют крепкий комок и надежно запирают запах внутри.</span><br /><span></span><br /><span><b>Преимущества:</b></span><br /><span></span></p><ul><li><span>Нетоксичен, не вызывает аллергии</span></li><li><span>Г</span><span>ранулы не пылят и не разлетаются при утилизации&nbsp;</span></li></ul><span></span><br /><span><b>Объем:&nbsp;</b>7 л.<br /></span><span><br />Произведено в Китае.</span></div>";screenshot_3_9.png;"Экологически чистый наполнитель из соевых волокон";;;;;
"Кошки/Наполнители, Кошки/Наполнители/Бентонитовый, Кошки/Наполнители/Комкующийся";"FOR CATS Наполнитель Universal Ultra";11.95;for-cats-napolnitel-universal-ultra;1;;"For Cats";"5л (4кг)";;4815907002950;16;"FOR CATS Наполнитель Universal Ultra";"Наполнитель FOR CATS комкующийся 5л (4кг) Universal Ultra";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text""><span>Комкующийся наполнитель на основе бентонитовой глины. Он отлично впитывает влагу, запирая ее в плотные комочки.</span><br /><span>Наполнитель остается сухим, не прилипает к лапам и шерсти кошки.</span><br /><span>Уникальная текстура предотвращает появление неприятных запахов в лотке.</span><br /><span>Гарантированное использование только натуральных компонентов.&nbsp;</span></div>";screenshot_4_10.png;"Комкующийся на основе бентонитовой глины";;;;;
"Кошки/Наполнители, Кошки/Наполнители/Комкующийся, Кошки/Наполнители/Бентонитовый";"FOR CATS Наполнитель Original White";11.95;for-cats-napolnitel-original-white;1;;"For Cats";"5л (4кг)";;4815907002967;13;"FOR CATS Наполнитель Original White";"Наполнитель FOR CATS комкующийся 5л (4кг) Original White";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text"">Комкующийся наполнитель на основе бентонитовой глины. Он отлично впитывает влагу, запирая ее в плотные комочки.<br />Наполнитель остается сухим, не прилипает к лапам и шерсти кошки. Уникальная текстура предотвращает появление неприятных запахов в лотке.<br />Гарантированное использование только натуральных компонентов.&nbsp; &nbsp; &nbsp; &nbsp;</div>";screenshot_5_7.png;"Комкующийся на основе бентонитовой глины";;;;;
"Кошки/Наполнители, Кошки/Наполнители/Комкующийся, Кошки/Наполнители/Бентонитовый";"FOR CATS Наполнитель Natural Herbal Ultra (аромат трав и цветов)";11.95;for-cats-napolnitel-natural-herbal-ultra-aromat-trav-i-tsvetov;1;;"For Cats";"5л (4кг)";;4815907002936;13;"FOR CATS Наполнитель Natural Herbal Ultra (аромат трав и цветов)";"Наполнитель FOR CATS комкующийся 5л (4кг) Natural Herbal Ultra с ароматом трав и цветов";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text""><span>Комкующийся наполнитель на основе бентонитовой глины. Он отлично впитывает влагу, запирая ее в плотные комочки.</span><br /><span>Наполнитель остается сухим, не прилипает к лапам и шерсти кошки.</span><br /><span>Уникальная текстура предотвращает появление неприятных запахов в лотке.</span><br /><span>Гарантированное использование только натуральных компонентов.&nbsp;&nbsp;</span>&nbsp;&nbsp;</div>";screenshot_6_8.png;"Комкующийся на основе бентонитовой глины";;;;;
"Кошки/Наполнители, Кошки/Наполнители/Комкующийся, Кошки/Наполнители/Бентонитовый";"FOR CATS Наполнитель Natural Ultra";18.95;for-cats-napolnitel-natural-ultra;1;;"For Cats";"10л (8кг)";;4815907002974;8;"FOR CATS Наполнитель Natural Ultra";"Наполнитель FOR CATS комкующийся 10л (8кг) Natural Ultra";;;"<h3 class=""item_detailed_descr_title pc_title24"">Описание товара</h3><div class=""item_detailed_descr_text"">Комкующийся наполнитель на основе бентонитовой глины. Он отлично впитывает влагу, запирая ее в плотные комочки.<br />Наполнитель остается сухим, не прилипает к лапам и шерсти кошки.<br />Уникальная текстура предотвращает появление неприятных запахов в лотке.<br />Гарантированное использование только натуральных компонентов.&nbsp; &nbsp;</div>";screenshot_7_8.png;"Комкующийся на основе бентонитовой глины";;;;;
